           a           b  c  d   e      J  g  h   position            i                     strength         f   z  label  m   n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  21  6  1 Ground  22  0  1  1499.35237244        -               0.123118460486666   0.0000 : rP0(22) : Excited v=1 21  1     A1u - Ground v=0 22  0 A1g
SymmetricTop Excited  22  7  1 Ground  23  1  1  1499.31552044        -               0.0893308722913408  0.0000 : rP0(23) : Excited v=1 22  1     A2u - Ground v=0 23  0 A2g
SymmetricTop Excited  23  6  1 Ground  24  0  1  1499.27800244        -               0.0636569568791954  0.0000 : rP0(24) : Excited v=1 23  1     A1u - Ground v=0 24  0 A1g
SymmetricTop Excited  22 10  1 Ground  23  4  1  1499.32645           -               0.048920792338021   0.0000 : pP1(23) : Excited v=1 22  0    E1u - Ground v=0 23  1 E1g
SymmetricTop Excited  23 10  1 Ground  24  4  1  1499.288932          -               0.0347345272810775  0.0000 : pP1(24) : Excited v=1 23  0    E1u - Ground v=0 24  1 E1g
SymmetricTop Excited  16  7  1 Ground  17  1  1  1499.52664244        -               0.463245028141726   0.0000 : rP0(17) : Excited v=1 16  1     A2u - Ground v=0 17  0 A2g
SymmetricTop Excited  17  6  1 Ground  18  0  1  1499.49312044        -               0.369227519879677   0.0000 : rP0(18) : Excited v=1 17  1     A1u - Ground v=0 18  0 A1g
SymmetricTop Excited  18  7  1 Ground  19  1  1  1499.45893244        -               0.288626455052595   0.0000 : rP0(19) : Excited v=1 18  1     A2u - Ground v=0 19  0 A2g
SymmetricTop Excited  16 10  1 Ground  17  4  1  1499.537572          -               0.26161740651207    0.0000 : pP1(17) : Excited v=1 16  0    E1u - Ground v=0 17  1 E1g
SymmetricTop Excited  17 10  1 Ground  18  4  1  1499.50405           -               0.207158181235153   0.0000 : pP1(18) : Excited v=1 17  0    E1u - Ground v=0 18  1 E1g
SymmetricTop Excited  18 10  1 Ground  19  4  1  1499.469862          -               0.160989285400901   0.0000 : pP1(19) : Excited v=1 18  0    E1u - Ground v=0 19  1 E1g
SymmetricTop Excited  15  6  1 Ground  16  0  1  1499.55949844        -               0.56975981684979    0.0000 : rP0(16) : Excited v=1 15  1     A1u - Ground v=0 16  0 A1g
SymmetricTop Excited  15 10  1 Ground  16  4  1  1499.570428          -               0.324155075330994   0.0000 : pP1(16) : Excited v=1 15  0    E1u - Ground v=0 16  1 E1g
SymmetricTop Excited  13  6  1 Ground  14  0  1  1499.62321244        -               0.810132117094001   0.0000 : rP0(14) : Excited v=1 13  1     A1u - Ground v=0 14  0 A1g
SymmetricTop Excited  14  7  1 Ground  15  1  1  1499.59168844        -               0.686597942679766   0.0000 : rP0(15) : Excited v=1 14  1     A2u - Ground v=0 15  0 A2g
SymmetricTop Excited  13 10  1 Ground  14  4  1  1499.634142          -               0.469253049141496   0.0000 : pP1(14) : Excited v=1 13  0    E1u - Ground v=0 14  1 E1g
SymmetricTop Excited  14 10  1 Ground  15  4  1  1499.602618          -               0.393910712294761   0.0000 : pP1(15) : Excited v=1 14  0    E1u - Ground v=0 15  1 E1g
SymmetricTop Excited  11  6  1 Ground  12  0  1  1499.68426244        -               1.05505146864781    0.0000 : rP0(12) : Excited v=1 11  1     A1u - Ground v=0 12  0 A1g
SymmetricTop Excited  12  7  1 Ground  13  1  1  1499.65407044        -               0.935181506455833   0.0000 : rP0(13) : Excited v=1 12  1     A2u - Ground v=0 13  0 A2g
SymmetricTop Excited  12 10  1 Ground  13  4  1  1499.665             -               0.547704168482681   0.0000 : pP1(13) : Excited v=1 12  0    E1u - Ground v=0 13  1 E1g
SymmetricTop Excited  10  7  1 Ground  11  1  1  1499.71378844        -               1.16174654487792    0.0000 : rP0(11) : Excited v=1 10  1     A2u - Ground v=0 11  0 A2g
SymmetricTop Excited  10 10  1 Ground  11  4  1  1499.724718          -               0.699835521751471   0.0000 : pP1(11) : Excited v=1 10  0    E1u - Ground v=0 11  1 E1g
SymmetricTop Excited  11 10  1 Ground  12  4  1  1499.695192          -               0.625932728365779   0.0000 : pP1(12) : Excited v=1 11  0    E1u - Ground v=0 12  1 E1g
SymmetricTop Excited   9  6  1 Ground  10  0  1  1499.74264844        -               1.24637422224911    0.0000 : rP0(10) : Excited v=1  9  1     A1u - Ground v=0 10  0 A1g
SymmetricTop Excited   9 10  1 Ground  10  4  1  1499.753578          -               0.764719176140547   0.0000 : pP1(10) : Excited v=1  9  0    E1u - Ground v=0 10  1 E1g
SymmetricTop Excited  26  6  1 Ground  26  0  1  1499.76085244        -               0.064962777733692   0.0000 : rQ0(26) : Excited v=1 26  1     A1u - Ground v=0 26  0 A1g
SymmetricTop Excited   7  6  1 Ground   8  0  1  1499.79837044        -               1.31306280817047    0.0000 : rP0(8) : Excited v=1  7  1     A1u - Ground v=0  8  0 A1g
SymmetricTop Excited   8  7  1 Ground   9  1  1  1499.77084244        -               1.29973443752756    0.0000 : rP0(9) : Excited v=1  8  1     A2u - Ground v=0  9  0 A2g
SymmetricTop Excited   8 10  1 Ground   9  4  1  1499.781772          -               0.815582663945936   0.0000 : pP1(9) : Excited v=1  8  0    E1u - Ground v=0  9  1 E1g
SymmetricTop Excited  24  6  1 Ground  24  0  1  1499.79481844        -               0.13561699509046    0.0000 : rQ0(24) : Excited v=1 24  1     A1u - Ground v=0 24  0 A1g
