          a            b  c  d   e      J  g  h   position            i                     strength         f      z       label       m       n      o   p  q      r  s  t     u   v   K  y
SymmetricTop Excited  25  8  1 Ground  26  2  1  1499.17017704        -               0.0123633445265336  0.0000    :     rP3B1g(26)    :     Excited v=1 25  4     B1u - Ground v=0 26  3 B1g
SymmetricTop Excited  25  9  1 Ground  26  3  1  1499.17017704        -               0.0123633445265336  0.0000    :     rP3B2g(26)    :     Excited v=1 25  4     B2u - Ground v=0 26  3 B2g
SymmetricTop Excited  26 10  3 Ground  27  4  2  1499.172382          -               0.0111939053735921  0.0000    :     pP1(27)    :     Excited v=1 26  0    E1u - Ground v=0 27  1 E1g
SymmetricTop Excited  27 11  2 Ground  28  5  1  1499.16698596        -               0.00961552594657011 0.0000    :     pP4(28)    :     Excited v=1 27  3     E2u - Ground v=0 28  4 E2g
SymmetricTop Excited  23 11  4 Ground  24  5  2  1499.30019444        -               0.0380823312392552  0.0000    :     pP2(24)    :     Excited v=1 23  1     E2u - Ground v=0 24  2 E2g
SymmetricTop Excited  22 11  3 Ground  23  5  2  1499.29465996        -               0.0376707027678993  0.0000    :     rP2(23)    :     Excited v=1 22  3     E2u - Ground v=0 23  2 E2g
SymmetricTop Excited  24 10  1 Ground  25  4  1  1499.29779504        -               0.0356947315437168  0.0000    :     pP5(25)    :     Excited v=1 24  4     E1u - Ground v=0 25  5 E1g
SymmetricTop Excited  21 11  1 Ground  22  5  1  1499.311983          -               0.0434616399869914  0.0000    :     rP4(22)    :     Excited v=1 21  5     E2u - Ground v=0 22  4 E2g
SymmetricTop Excited  23  8  2 Ground  24  2  1  1499.31178976        -               0.0419579241673409  0.0000    :     pP3B1g(24)    :     Excited v=1 23  2     B1u - Ground v=0 24  3 B1g
SymmetricTop Excited  23  9  2 Ground  24  3  1  1499.31178976        -               0.0419579241673409  0.0000    :     pP3B2g(24)    :     Excited v=1 23  2     B2u - Ground v=0 24  3 B2g
SymmetricTop Excited  22 10  2 Ground  23  4  2  1499.30492376        -               0.0409445761959523  0.0000    :     rP1(23)    :     Excited v=1 22  2     E1u - Ground v=0 23  1 E1g
SymmetricTop Excited  22 10  3 Ground  23  4  2  1499.32645           -               0.048920792338021   0.0000    :     pP1(23)    :     Excited v=1 22  0    E1u - Ground v=0 23  1 E1g
SymmetricTop Excited  21  8  1 Ground  22  2  1  1499.32158104        -               0.0472364653893432  0.0000    :     rP3B1g(22)    :     Excited v=1 21  4     B1u - Ground v=0 22  3 B1g
SymmetricTop Excited  21  9  1 Ground  22  3  1  1499.32158104        -               0.0472364653893432  0.0000    :     rP3B2g(22)    :     Excited v=1 21  4     B2u - Ground v=0 22  3 B2g
SymmetricTop Excited  23 11  2 Ground  24  5  1  1499.32371796        -               0.0464656561091273  0.0000    :     pP4(24)    :     Excited v=1 23  3     E2u - Ground v=0 24  4 E2g
SymmetricTop Excited  21  6  2 Ground  22  0  1  1499.35237244        -               0.123118460486666   0.0000    :     rP0(22)    :     Excited v=1 21  1     A1u - Ground v=0 22  0 A1g
SymmetricTop Excited  20  8  1 Ground  21  2  1  1499.35776704        -               0.0629165960105359  0.0000    :     rP3B1g(21)    :     Excited v=1 20  4     B1u - Ground v=0 21  3 B1g
