,Sightline,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
0,HD 23180,4232.548,0.3393,38000000.0,3.3623628556785397,110468511104.03482,-0.16948366148359154,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 38
    # data points      = 25
    # variables        = 3
    chi-square         = 3.1130e-04
    reduced chi-square = 1.4150e-05
    Akaike info crit   = -276.340537
    Bayesian info crit = -272.683909
    R-squared          = 0.97353717
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.36236286 +/- 0.15302391 (4.55%) (init = 2.36)
    N:             1.1047e+11 +/- 4.3381e+09 (3.93%) (init = 7e+11)
    v_rad:        -0.16948366 +/- 0.10866860 (64.12%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5507"
1,HD 23180,4232.548,0.3393,38000000.0,3.451948516169112,105321166519.49944,0.33990993398118985,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 45
    # data points      = 25
    # variables        = 3
    chi-square         = 9.4272e-05
    reduced chi-square = 4.2851e-06
    Akaike info crit   = -306.205041
    Bayesian info crit = -302.548414
    R-squared          = 0.99032225
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.45194852 +/- 0.09163620 (2.65%) (init = 2.36)
    N:             1.0532e+11 +/- 2.4125e+09 (2.29%) (init = 7e+11)
    v_rad:         0.33990993 +/- 0.06504840 (19.14%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5526"
2,HD 23180,4232.548,0.3393,38000000.0,3.424947089927188,101098376622.30493,0.7150901403550783,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 1.8178e-04
    reduced chi-square = 8.2627e-06
    Akaike info crit   = -289.789898
    Bayesian info crit = -286.133271
    R-squared          = 0.98115969
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.42494709 +/- 0.13091928 (3.82%) (init = 2.36)
    N:             1.0110e+11 +/- 3.3334e+09 (3.30%) (init = 7e+11)
    v_rad:         0.71509014 +/- 0.09290165 (12.99%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5535"
3,HD 23180,4232.548,0.3393,38000000.0,3.53577790848891,107892812632.60873,-0.45099743827021416,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 2.2302e-04
    reduced chi-square = 1.0137e-05
    Akaike info crit   = -284.677812
    Bayesian info crit = -281.021184
    R-squared          = 0.97794020
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.53577791 +/- 0.14254806 (4.03%) (init = 2.36)
    N:             1.0789e+11 +/- 3.7550e+09 (3.48%) (init = 7e+11)
    v_rad:        -0.45099744 +/- 0.10121206 (22.44%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5526"
4,HD 23180,4232.548,0.3393,38000000.0,3.1528374228923672,100904683336.65894,0.694707500796745,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 4.4591e-04
    reduced chi-square = 2.0268e-05
    Akaike info crit   = -267.356902
    Bayesian info crit = -263.700274
    R-squared          = 0.95644692
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.15283742 +/- 0.18224328 (5.78%) (init = 2.36)
    N:             1.0090e+11 +/- 5.0248e+09 (4.98%) (init = 7e+11)
    v_rad:         0.69470750 +/- 0.12929928 (18.61%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5514"
5,HD 23180,4232.548,0.3393,38000000.0,2.986466041798876,106631335861.12904,0.1314189804558427,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 25
    # variables        = 3
    chi-square         = 2.7171e-04
    reduced chi-square = 1.2351e-05
    Akaike info crit   = -279.741160
    Bayesian info crit = -276.084533
    R-squared          = 0.97814401
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.98646604 +/- 0.12470503 (4.18%) (init = 2.36)
    N:             1.0663e+11 +/- 3.8340e+09 (3.60%) (init = 7e+11)
    v_rad:         0.13141898 +/- 0.08851121 (67.35%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5483"
6,HD 24398,4232.548,0.3393,38000000.0,3.158954532714984,49558202288.89237,0.285218472341873,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 41
    # data points      = 25
    # variables        = 3
    chi-square         = 2.7595e-04
    reduced chi-square = 1.2543e-05
    Akaike info crit   = -279.353819
    Bayesian info crit = -275.697192
    R-squared          = 0.89331474
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.15895453 +/- 0.28862342 (9.14%) (init = 2.36)
    N:             4.9558e+10 +/- 3.8876e+09 (7.84%) (init = 7e+11)
    v_rad:         0.28521847 +/- 0.20383026 (71.46%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5647"
7,HD 24398,4232.548,0.3393,38000000.0,2.9195950666029735,49992457844.029854,-0.3936197352581667,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 25
    # variables        = 3
    chi-square         = 6.0900e-05
    reduced chi-square = 2.7682e-06
    Akaike info crit   = -317.128674
    Bayesian info crit = -313.472047
    R-squared          = 0.97866120
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.91959507 +/- 0.11986819 (4.11%) (init = 2.36)
    N:             4.9992e+10 +/- 1.7593e+09 (3.52%) (init = 7e+11)
    v_rad:        -0.39361974 +/- 0.08460593 (21.49%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5636"
8,HD 24398,4232.548,0.3393,38000000.0,3.0438811859170176,46375035752.336044,0.32711009963337645,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 4.6504e-05
    reduced chi-square = 2.1138e-06
    Akaike info crit   = -323.871051
    Bayesian info crit = -320.214424
    R-squared          = 0.98047297
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.04388119 +/- 0.11984821 (3.94%) (init = 2.36)
    N:             4.6375e+10 +/- 1.5662e+09 (3.38%) (init = 7e+11)
    v_rad:         0.32711010 +/- 0.08459111 (25.86%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5651"
9,HD 24398,4232.548,0.3393,38000000.0,2.5052933607861547,44391106746.09646,-0.4050454888028731,0.56,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 25
    # variables        = 3
    chi-square         = 4.6575e-04
    reduced chi-square = 2.1171e-05
    Akaike info crit   = -266.268270
    Bayesian info crit = -262.611642
    R-squared          = 0.85833756
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.50529336 +/- 0.29867010 (11.92%) (init = 2.36)
    N:             4.4391e+10 +/- 4.5151e+09 (10.17%) (init = 7e+11)
    v_rad:        -0.40504549 +/- 0.21035853 (51.93%) (init = 0.06)
    v_resolution:  0.56 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5630"
