,Sightline,Red Chi-Squared,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
0,HD 23180,8.516666360838532e-06,4232.548,0.00545,100000000.0,2.726114802300177,7405502890736.046,-0.18098932602613738,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 35
    # variables        = 3
    chi-square         = 2.7253e-04
    reduced chi-square = 8.5167e-06
    Akaike info crit   = -405.708420
    Bayesian info crit = -401.042376
    R-squared          = 0.97873693
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.72611480 +/- 0.15283652 (5.61%) (init = 3.36)
    N:             7.4055e+12 +/- 2.1372e+11 (2.89%) (init = 7e+12)
    v_rad:        -0.18098933 +/- 0.08419909 (46.52%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5278"
1,HD 23180,3.2023933092736355e-06,4232.548,0.00545,100000000.0,2.767176736203409,6854717994951.478,0.3191587272776936,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 35
    # variables        = 3
    chi-square         = 1.0248e-04
    reduced chi-square = 3.2024e-06
    Akaike info crit   = -439.942850
    Bayesian info crit = -435.276806
    R-squared          = 0.99038913
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.76717674 +/- 0.10173299 (3.68%) (init = 3.36)
    N:             6.8547e+12 +/- 1.3131e+11 (1.92%) (init = 7e+12)
    v_rad:         0.31915873 +/- 0.05633372 (17.65%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5327"
2,HD 23180,4.268263889168018e-06,4232.548,0.00545,100000000.0,2.9858970084164254,7128147418961.175,0.7054117741635526,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 21
    # data points      = 35
    # variables        = 3
    chi-square         = 1.3658e-04
    reduced chi-square = 4.2683e-06
    Akaike info crit   = -429.887044
    Bayesian info crit = -425.221000
    R-squared          = 0.98737040
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.98589701 +/- 0.11767936 (3.94%) (init = 3.36)
    N:             7.1281e+12 +/- 1.5530e+11 (2.18%) (init = 7e+12)
    v_rad:         0.70541177 +/- 0.06706453 (9.51%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5364"
3,HD 23180,9.267790127132265e-06,4232.548,0.00545,100000000.0,2.812478162963214,6872801358601.874,-0.47320077527696125,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 33
    # variables        = 3
    chi-square         = 2.7803e-04
    reduced chi-square = 9.2678e-06
    Akaike info crit   = -379.581101
    Bayesian info crit = -375.091578
    R-squared          = 0.97393834
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.81247816 +/- 0.17400212 (6.19%) (init = 3.36)
    N:             6.8728e+12 +/- 2.2447e+11 (3.27%) (init = 7e+12)
    v_rad:        -0.47320078 +/- 0.09696353 (20.49%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5338"
4,HD 23180,1.4917462043041622e-05,4232.548,0.00545,100000000.0,2.3956202643888735,6670789180141.584,0.6977501376178997,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 21
    # data points      = 35
    # variables        = 3
    chi-square         = 4.7736e-04
    reduced chi-square = 1.4917e-05
    Akaike info crit   = -386.090658
    Bayesian info crit = -381.424614
    R-squared          = 0.95816903
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.39562026 +/- 0.21308928 (8.89%) (init = 3.36)
    N:             6.6708e+12 +/- 2.7180e+11 (4.07%) (init = 7e+12)
    v_rad:         0.69775014 +/- 0.11092219 (15.90%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5214"
5,HD 23180,7.653316903998922e-06,4232.548,0.00545,100000000.0,2.2424569486215575,7228695421755.969,0.10796932178631821,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 35
    # variables        = 3
    chi-square         = 2.4491e-04
    reduced chi-square = 7.6533e-06
    Akaike info crit   = -409.449425
    Bayesian info crit = -404.783381
    R-squared          = 0.98166876
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.24245695 +/- 0.13883002 (6.19%) (init = 3.36)
    N:             7.2287e+12 +/- 1.9176e+11 (2.65%) (init = 7e+12)
    v_rad:         0.10796932 +/- 0.07008522 (64.91%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5084"
6,HD 24398,9.157564975904941e-06,4232.548,0.00545,100000000.0,2.2517416147273908,3102806801804.84,0.27657023630908345,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 37
    # data points      = 35
    # variables        = 3
    chi-square         = 2.9304e-04
    reduced chi-square = 9.1576e-06
    Akaike info crit   = -403.168984
    Bayesian info crit = -398.502940
    R-squared          = 0.89663601
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.25174161 +/- 0.34708375 (15.41%) (init = 3.36)
    N:             3.1028e+12 +/- 2.0623e+11 (6.65%) (init = 7e+12)
    v_rad:         0.27657024 +/- 0.17438010 (63.05%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5488"
7,HD 24398,2.25682440308261e-06,4232.548,0.00545,100000000.0,1.9671952741019871,3210210902556.74,-0.42651162738375126,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 25
    # data points      = 33
    # variables        = 3
    chi-square         = 6.7705e-05
    reduced chi-square = 2.2568e-06
    Akaike info crit   = -426.196447
    Bayesian info crit = -421.706925
    R-squared          = 0.97769809
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.96719527 +/- 0.16321550 (8.30%) (init = 3.36)
    N:             3.2102e+12 +/- 9.9043e+10 (3.09%) (init = 7e+12)
    v_rad:        -0.42651163 +/- 0.07636767 (17.91%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5386"
8,HD 24398,1.6494202181063127e-06,4232.548,0.00545,100000000.0,2.185102688852741,3009230922374.0693,0.30572777117194533,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 5.2781e-05
    reduced chi-square = 1.6494e-06
    Akaike info crit   = -463.164461
    Bayesian info crit = -458.498416
    R-squared          = 0.97927888
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             2.18510269 +/- 0.15081857 (6.90%) (init = 3.36)
    N:             3.0092e+12 +/- 8.6815e+10 (2.88%) (init = 7e+12)
    v_rad:         0.30572777 +/- 0.07462175 (24.41%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5480"
9,HD 24398,1.011032815453341e-05,4232.548,0.00545,100000000.0,1.569765020718935,3138744892014.796,-0.4616518719296962,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 29
    # data points      = 35
    # variables        = 3
    chi-square         = 3.2353e-04
    reduced chi-square = 1.0110e-05
    Akaike info crit   = -399.704783
    Bayesian info crit = -395.038739
    R-squared          = 0.90864249
[[Variables]]
    lambda0:       4232.548 (fixed)
    f:             0.00545 (fixed)
    gamma:         1e+08 (fixed)
    b:             1.56976502 +/- 0.35862922 (22.85%) (init = 3.36)
    N:             3.1387e+12 +/- 1.9938e+11 (6.35%) (init = 7e+12)
    v_rad:        -0.46165187 +/- 0.14602933 (31.63%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.5166"
