,Sightline,Red Chi-Squared,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
0,HD 23180,0.0008437982548795336,7698.965,0.3393,38000000.0,1.597686587266978,1240137615408.05,0.40810699380645843,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 59
    # data points      = 44
    # variables        = 3
    chi-square         = 0.03459573
    reduced chi-square = 8.4380e-04
    Akaike info crit   = -308.521447
    Bayesian info crit = -303.168878
    R-squared          = 0.98280785
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.59768659 +/- 0.13511824 (8.46%) (init = 3.36)
    N:             1.2401e+12 +/- 1.4103e+11 (11.37%) (init = 7e+12)
    v_rad:         0.40810699 +/- 0.05603157 (13.73%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.8980"
1,HD 23180,0.0007335232038822994,7698.965,0.3393,38000000.0,1.7180278623126108,1142541999843.9922,0.2662577061202435,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 47
    # data points      = 45
    # variables        = 3
    chi-square         = 0.03080797
    reduced chi-square = 7.3352e-04
    Akaike info crit   = -321.898989
    Bayesian info crit = -316.479001
    R-squared          = 0.98387913
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.71802786 +/- 0.11815430 (6.88%) (init = 3.36)
    N:             1.1425e+12 +/- 8.8106e+10 (7.71%) (init = 7e+12)
    v_rad:         0.26625771 +/- 0.05327072 (20.01%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.8419"
2,HD 23180,0.0009590866952277592,7698.965,0.3393,38000000.0,1.5078759571904004,1318117198343.7615,0.11727146313855592,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 53
    # data points      = 45
    # variables        = 3
    chi-square         = 0.04028164
    reduced chi-square = 9.5909e-04
    Akaike info crit   = -309.833488
    Bayesian info crit = -304.413501
    R-squared          = 0.98010676
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.50787596 +/- 0.15210169 (10.09%) (init = 3.36)
    N:             1.3181e+12 +/- 2.0545e+11 (15.59%) (init = 7e+12)
    v_rad:         0.11727146 +/- 0.05849080 (49.88%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9281"
3,HD 24398,0.0009783403958758586,7698.965,0.3393,38000000.0,0.7071400920713524,6367721935764.3955,0.3372056872921605,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 81
    # data points      = 45
    # variables        = 3
    chi-square         = 0.04109030
    reduced chi-square = 9.7834e-04
    Akaike info crit   = -308.939060
    Bayesian info crit = -303.519072
    R-squared          = 0.97216248
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.70714009 +/- 1.05392546 (149.04%) (init = 3.36)
    N:             6.3677e+12 +/- 5.9287e+13 (931.05%) (init = 7e+12)
    v_rad:         0.33720569 +/- 0.06361508 (18.87%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9998"
4,HD 24398,0.00112654330233287,7698.965,0.3393,38000000.0,0.7038029468767598,7220649903741.678,0.21293443978280496,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 81
    # data points      = 45
    # variables        = 3
    chi-square         = 0.04731482
    reduced chi-square = 0.00112654
    Akaike info crit   = -302.591740
    Bayesian info crit = -297.171753
    R-squared          = 0.96868446
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.70380295 +/- 0.91122688 (129.47%) (init = 3.36)
    N:             7.2206e+12 +/- 6.0089e+13 (832.19%) (init = 7e+12)
    v_rad:         0.21293444 +/- 0.06706525 (31.50%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9997"
5,HD 144470,0.00022874015128524736,7698.965,0.3393,38000000.0,2.156981133073164,153369966853.78802,0.4183353482863095,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 51
    # data points      = 45
    # variables        = 3
    chi-square         = 0.00960709
    reduced chi-square = 2.2874e-04
    Akaike info crit   = -374.336255
    Bayesian info crit = -368.916268
    R-squared          = 0.91342994
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             2.15698113 +/- 0.24440191 (11.33%) (init = 3.36)
    N:             1.5337e+11 +/- 7.1737e+09 (4.68%) (init = 7e+12)
    v_rad:         0.41833535 +/- 0.12303151 (29.41%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.3850"
6,HD 147165,7.032943196806322e-05,7698.965,0.3393,38000000.0,0.2653903448304777,454967186411.6615,0.37951667037778253,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 111
    # data points      = 45
    # variables        = 3
    chi-square         = 0.00295384
    reduced chi-square = 7.0329e-05
    Akaike info crit   = -427.409088
    Bayesian info crit = -421.989100
    R-squared          = 0.97883656
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.26539034 +/- 0.84330879 (317.76%) (init = 3.36)
    N:             4.5497e+11 +/- 4.4074e+12 (968.73%) (init = 7e+12)
    v_rad:         0.37951667 +/- 0.04939444 (13.02%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -1.0000"
7,HD 147683,0.002583637930433675,7698.965,0.3393,38000000.0,4.36419187636886,643383887273.0876,1.4004481277756957,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 54
    # data points      = 45
    # variables        = 3
    chi-square         = 0.10851279
    reduced chi-square = 0.00258364
    Akaike info crit   = -265.239736
    Bayesian info crit = -259.819749
    R-squared          = 0.88424794
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             4.36419188 +/- 0.33909870 (7.77%) (init = 3.36)
    N:             6.4338e+11 +/- 3.7004e+10 (5.75%) (init = 7e+12)
    v_rad:         1.40044813 +/- 0.22687158 (16.20%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.2969"
8,HD 149757,0.0009867826686878803,7698.965,0.3393,38000000.0,0.6251165138105973,5361331962924.291,0.06373236099698068,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 84
    # data points      = 45
    # variables        = 3
    chi-square         = 0.04144487
    reduced chi-square = 9.8678e-04
    Akaike info crit   = -308.552412
    Bayesian info crit = -303.132425
    R-squared          = 0.96501895
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.62511651 +/- 0.99417120 (159.04%) (init = 3.36)
    N:             5.3613e+12 +/- 5.2066e+13 (971.14%) (init = 7e+12)
    v_rad:         0.06373236 +/- 0.06900275 (108.27%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9998"
9,HD 149757,0.0450708531507461,7698.965,0.3393,38000000.0,3.938379969414844,421239412305.5651,-1.655145993023799,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 104
    # data points      = 45
    # variables        = 3
    chi-square         = 1.89297583
    reduced chi-square = 0.04507085
    Akaike info crit   = -136.583057
    Bayesian info crit = -131.163070
    R-squared          = 0.25930718
[[Variables]]
    lambda0:       7698.965 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             3.93837997 +/- 1.85444758 (47.09%) (init = 3.36)
    N:             4.2124e+11 +/- 1.3563e+11 (32.20%) (init = 7e+12)
    v_rad:        -1.65514599 +/- 1.19347122 (72.11%) (init = 0.6)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = +0.3745"
