,Sightline,lambda0,f,gamma,b,N,v_rad,v_resolution,n_step,fit_report
0,HD 23180,7698.974,0.3393,38000000.0,1.0044692921065415,2870618400477.091,0.09632739687133965,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 99
    # data points      = 22
    # variables        = 3
    chi-square         = 0.09136037
    reduced chi-square = 0.00480844
    Akaike info crit   = -114.647689
    Bayesian info crit = -111.374562
    R-squared          = 0.94521979
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.00446929 +/- 0.94526025 (94.11%) (init = 2.36)
    N:             2.8706e+12 +/- 1.1425e+13 (397.98%) (init = 7e+11)
    v_rad:         0.09632740 +/- 0.12890691 (133.82%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9975"
1,HD 23180,7698.974,0.3393,38000000.0,1.3286534474399725,1378025200235.628,-0.05509118097158164,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 38
    # data points      = 23
    # variables        = 3
    chi-square         = 0.04628362
    reduced chi-square = 0.00231418
    Akaike info crit   = -136.794610
    Bayesian info crit = -133.388128
    R-squared          = 0.97033700
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.32865345 +/- 0.28041259 (21.11%) (init = 2.36)
    N:             1.3780e+12 +/- 5.4756e+11 (39.74%) (init = 7e+11)
    v_rad:        -0.05509118 +/- 0.09137151 (165.86%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9632"
2,HD 23180,7698.974,0.3393,38000000.0,1.0608719031675513,2554400860262.771,-0.2039954165197316,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 89
    # data points      = 23
    # variables        = 3
    chi-square         = 0.07563789
    reduced chi-square = 0.00378189
    Akaike info crit   = -125.497720
    Bayesian info crit = -122.091238
    R-squared          = 0.95535012
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             1.06087190 +/- 0.70470472 (66.43%) (init = 2.36)
    N:             2.5544e+12 +/- 6.5312e+12 (255.68%) (init = 7e+11)
    v_rad:        -0.20399542 +/- 0.11270777 (55.25%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9960"
3,HD 24398,7698.974,0.3393,38000000.0,0.7055371825605544,5673505128444.371,-0.010729388935249254,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 71
    # data points      = 22
    # variables        = 3
    chi-square         = 0.04368397
    reduced chi-square = 0.00229916
    Akaike info crit   = -130.879962
    Bayesian info crit = -127.606834
    R-squared          = 0.96471766
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.70553718 +/- 2.08560008 (295.60%) (init = 2.36)
    N:             5.6735e+12 +/- 1.0203e+14 (1798.33%) (init = 7e+11)
    v_rad:        -0.01072939 +/- 0.09864308 (919.37%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9999"
4,HD 24398,7698.974,0.3393,38000000.0,0.6928578679333705,5051478319204.936,-0.1364682201180244,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 75
    # data points      = 22
    # variables        = 3
    chi-square         = 0.07748262
    reduced chi-square = 0.00407803
    Akaike info crit   = -118.272370
    Bayesian info crit = -114.999243
    R-squared          = 0.94074789
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.69285787 +/- 3.03170516 (437.57%) (init = 2.36)
    N:             5.0515e+12 +/- 1.3089e+14 (2591.21%) (init = 7e+11)
    v_rad:        -0.13646822 +/- 0.13280493 (97.32%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9999"
5,HD 144470,7698.974,0.3393,38000000.0,0.6671431011176671,113431238482.40063,-0.0949902468553126,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 69
    # data points      = 22
    # variables        = 3
    chi-square         = 0.01466440
    reduced chi-square = 7.7181e-04
    Akaike info crit   = -154.894255
    Bayesian info crit = -151.621128
    R-squared          = 0.83619178
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.66714310 +/- 1.06386977 (159.47%) (init = 2.36)
    N:             1.1343e+11 +/- 3.9295e+10 (34.64%) (init = 7e+11)
    v_rad:        -0.09499025 +/- 0.22326212 (235.04%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9388"
6,HD 147165,7698.974,0.3393,38000000.0,0.26280756519588416,440588736837.1687,0.03410172851384527,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 120
    # data points      = 22
    # variables        = 3
    chi-square         = 0.00250898
    reduced chi-square = 1.3205e-04
    Akaike info crit   = -193.736277
    Bayesian info crit = -190.463150
    R-squared          = 0.97781603
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.26280757 +/- 2.28584401 (869.78%) (init = 2.36)
    N:             4.4059e+11 +/- 1.1505e+13 (2611.25%) (init = 7e+11)
    v_rad:         0.03410173 +/- 0.06881309 (201.79%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -1.0000"
7,HD 147683,7698.974,0.3393,38000000.0,0.43686145447860597,1056183833328.6311,0.0918491435136712,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 80
    # data points      = 23
    # variables        = 3
    chi-square         = 0.43383534
    reduced chi-square = 0.02169177
    Akaike info crit   = -85.3234417
    Bayesian info crit = -81.9169591
    R-squared          = 0.51928782
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.43686145 +/- 12.3919167 (2836.58%) (init = 2.36)
    N:             1.0562e+12 +/- 1.1459e+14 (10849.62%) (init = 7e+11)
    v_rad:         0.09184914 +/- 0.51083015 (556.16%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9999"
8,HD 149757,7698.974,0.3393,38000000.0,0.6139854133553607,3654360709983.5107,-0.2839977481734089,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 78
    # data points      = 23
    # variables        = 3
    chi-square         = 0.07467712
    reduced chi-square = 0.00373386
    Akaike info crit   = -125.791742
    Bayesian info crit = -122.385260
    R-squared          = 0.92912527
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.61398541 +/- 3.54313989 (577.07%) (init = 2.36)
    N:             3.6544e+12 +/- 1.1684e+14 (3197.38%) (init = 7e+11)
    v_rad:        -0.28399775 +/- 0.14117913 (49.71%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -0.9999"
9,HD 149757,7698.974,0.3393,38000000.0,0.2616558905801854,370090951821.28424,-0.4893086440975027,3.75,25,"[[Model]]
    Model(voigt_absorption_line)
[[Fit Statistics]]
    # fitting method   = leastsq
    # function evals   = 114
    # data points      = 23
    # variables        = 3
    chi-square         = 0.64353594
    reduced chi-square = 0.03217680
    Akaike info crit   = -76.2542473
    Bayesian info crit = -72.8477647
    R-squared          = 0.16692817
[[Variables]]
    lambda0:       7698.974 (fixed)
    f:             0.3393 (fixed)
    gamma:         3.8e+07 (fixed)
    b:             0.26165589 +/- 36.4816813 (13942.62%) (init = 2.36)
    N:             3.7009e+11 +/- 1.3568e+14 (36660.15%) (init = 7e+11)
    v_rad:        -0.48930864 +/- 1.12623714 (230.17%) (init = 0.06)
    v_resolution:  3.75 (fixed)
    n_step:        25 (fixed)
[[Correlations]] (unreported correlations are < 0.100)
    C(b, N) = -1.0000"
